plant,insect_name,damage,min_temp,max_temp,avg_temp,humidity,rain
Rice,Leaf Folder,Top leaf damage,20,39,29.5,77-71,Moderate
Wheat,Armyworm,Leaf defoliation,24,37,30.5,51-84,Low
Tomato,Tomato Hornworm,Leaf defoliation,26,39,32.5,78-86,Moderate
Tomato,Tomato Hornworm,Bud/leaf damage,26,39,32.5,62-88,High
Wheat,Armyworm,Stalk tunneling,22,40,31.0,78-88,Moderate
Potato,Wireworm,Leaf defoliation,21,40,30.5,70-73,Moderate
Cotton,Whitefly,Shoot tunneling,24,34,29.0,78-74,Low
Maize,Rootworm,Sap sucking/viruses,24,38,31.0,76-89,Low
Coconut,Rhinoceros Beetle,Bud/leaf damage,23,40,31.5,75-90,High
Maize,Stem Borer,Sap sucking/viruses,25,35,30.0,52-94,Low
Potato,Potato Beetle,Root feeding,26,35,30.5,64-78,High
Cotton,Pink Bollworm,Leaf/frond damage,20,37,28.5,62-70,Low
Soybean,Soybean Aphid,Root feeding,26,38,32.0,75-72,High
Maize,Rootworm,Trunk boring,26,39,32.5,64-80,Moderate
Soybean,Corn Earworm,Shoot tunneling,25,35,30.0,79-79,Low
Tomato,Leaf Miner,Nut damage/yield loss,23,37,30.0,74-89,Moderate
Wheat,Aphids,Nut damage/yield loss,26,34,30.0,84-90,Moderate
Coconut,Leaf Eating Caterpillar,Fruit infestation,21,36,28.5,51-82,Low
Tomato,Leaf Miner,Stalk tunneling,20,40,30.0,63-83,Moderate
Maize,Corn Earworm,Root/stem rot,25,37,31.0,54-88,Moderate
Rice,Leaf Folder,Sap sucking/hopper burn,24,39,31.5,78-79,High
Wheat,Armyworm,Top leaf damage,25,35,30.0,59-73,Moderate
Coconut,Rhinoceros Beetle,Sap sucking/viruses,25,34,29.5,61-90,High
Rice,Brown Plant Hopper,Leaf defoliation,26,39,32.5,88-78,Low
Maize,Fall Armyworm,Sap sucking/hopper burn,24,39,31.5,62-72,Low
Banana,Aphids,Stalk tunneling,24,38,31.0,73-85,Moderate
Wheat,Hessian Fly,Sap sucking/hopper burn,25,36,30.5,52-91,High
Cotton,Pink Bollworm,Leaf/frond damage,24,40,32.0,82-77,Low
Cotton,Whitefly,Root feeding,21,35,28.0,51-90,Moderate
Tomato,Aphids,Stalk tunneling,22,35,28.5,54-79,High
Sugarcane,White Grub,Root/stem rot,25,36,30.5,73-79,Low
Rice,Leaf Folder,Root/stem rot,20,39,29.5,78-80,Moderate
Banana,Aphids,Stalk tunneling,25,37,31.0,59-74,Low
Sugarcane,White Grub,Nut damage/yield loss,20,39,29.5,80-75,High
Sugarcane,Top Borer,Root feeding,22,37,29.5,54-75,Low
Potato,Cutworm,Top leaf damage,25,40,32.5,55-70,Low
Wheat,Stem Sawfly,Fruit infestation,23,40,31.5,59-90,Moderate
Maize,Fall Armyworm,Root feeding,21,37,29.0,90-82,High
Tomato,Tomato Hornworm,Leaf/frond damage,21,34,27.5,57-78,Moderate
Coconut,Coconut Eriophyid Mite,Sap sucking/viruses,22,34,28.0,69-80,High
Wheat,Hessian Fly,Leaf defoliation,23,35,29.0,59-75,Moderate
Potato,Cutworm,Stalk tunneling,25,35,30.0,68-88,Low
Soybean,Corn Earworm,Nut damage/yield loss,23,36,29.5,87-72,Low
Maize,Fall Armyworm,Root/stem rot,25,38,31.5,68-73,Low
Sugarcane,Top Borer,Nut damage/yield loss,26,37,31.5,89-77,High
Soybean,Corn Earworm,Top leaf damage,20,35,27.5,88-72,Moderate
Rice,Brown Plant Hopper,Leaf webbing,21,40,30.5,77-83,High
Potato,Potato Beetle,Stalk tunneling,21,34,27.5,67-73,Low
Potato,Leafhopper,Nut damage/yield loss,22,40,31.0,59-77,High
Wheat,Aphids,Root/stem rot,21,36,28.5,73-86,Moderate
Wheat,Aphids,Nut damage/yield loss,22,37,29.5,80-91,Low
Wheat,Stem Sawfly,Bud/leaf damage,24,38,31.0,80-86,Low
Rice,Yellow Stem Borer,Bud/leaf damage,24,40,32.0,73-78,High
Soybean,Corn Earworm,Nut damage/yield loss,25,40,32.5,66-84,Moderate
Wheat,Armyworm,Leaf webbing,21,37,29.0,60-81,Moderate
Rice,Gall Midge,Shoot tunneling,20,38,29.0,57-84,Moderate
Rice,Leaf Folder,Root/stem rot,26,34,30.0,64-84,High
Rice,Yellow Stem Borer,Leaf webbing,23,39,31.0,52-85,Moderate
Rice,Brown Plant Hopper,Shoot tunneling,20,34,27.0,56-81,Low
Rice,Gall Midge,Stalk tunneling,21,37,29.0,82-74,Low
Cotton,Whitefly,Leaf defoliation,24,40,32.0,73-70,High
Sugarcane,White Grub,Leaf defoliation,21,39,30.0,50-82,High
Wheat,Hessian Fly,Root/stem rot,26,34,30.0,58-72,High
Tomato,Tomato Hornworm,Leaf webbing,25,38,31.5,63-82,Low
Coconut,Coconut Eriophyid Mite,Stalk tunneling,21,40,30.5,68-74,High
Cotton,Pink Bollworm,Sap sucking/viruses,22,37,29.5,90-79,Moderate
Cotton,Pink Bollworm,Sap sucking/viruses,25,39,32.0,54-84,Low
Rice,Leaf Folder,Top leaf damage,25,40,32.5,77-89,High
Banana,Weevil Borer,Top leaf damage,21,34,27.5,76-76,High
Sugarcane,White Grub,Top leaf damage,26,37,31.5,71-76,High
Maize,Stem Borer,Bud/leaf damage,22,39,30.5,55-88,High
Rice,Yellow Stem Borer,Fruit infestation,24,40,32.0,70-72,High
Coconut,Rhinoceros Beetle,Bud/leaf damage,23,40,31.5,59-71,Moderate
Soybean,Bean Leaf Beetle,Nut damage/yield loss,25,40,32.5,83-72,Moderate
Maize,Stem Borer,Top leaf damage,21,39,30.0,68-87,Moderate
Banana,Fruit Fly (Bactrocera),Trunk boring,23,40,31.5,77-71,High
Coconut,Red Palm Weevil,Root/stem rot,26,39,32.5,86-90,Low
Coconut,Red Palm Weevil,Leaf defoliation,26,34,30.0,86-71,High
Rice,Yellow Stem Borer,Sap sucking/viruses,23,36,29.5,68-79,High
Maize,Corn Earworm,Shoot tunneling,23,39,31.0,69-86,High
Rice,Yellow Stem Borer,Top leaf damage,25,39,32.0,76-79,Moderate
Tomato,Leaf Miner,Leaf defoliation,23,37,30.0,55-71,Moderate
Rice,Brown Plant Hopper,Sap sucking/viruses,24,39,31.5,79-81,High
Tomato,Aphids,Leaf defoliation,20,35,27.5,59-80,Low
Banana,Aphids,Sap sucking/hopper burn,20,40,30.0,59-81,Low
Maize,Fall Armyworm,Top leaf damage,25,39,32.0,74-72,High
Tomato,Whitefly,Fruit infestation,22,34,28.0,65-89,Low
Soybean,Bean Leaf Beetle,Root/stem rot,23,38,30.5,59-93,Moderate
Maize,Corn Earworm,Root feeding,24,40,32.0,57-81,Moderate
Soybean,Cutworm,Leaf defoliation,23,40,31.5,56-84,Moderate
Banana,Fruit Fly (Bactrocera),Trunk boring,20,40,30.0,64-90,Low
Potato,Cutworm,Leaf webbing,20,39,29.5,81-86,High
Maize,Stem Borer,Fruit infestation,22,34,28.0,55-91,High
Cotton,Whitefly,Leaf defoliation,25,38,31.5,50-80,High
Potato,Cutworm,Shoot tunneling,20,39,29.5,86-90,High
Wheat,Aphids,Shoot tunneling,20,39,29.5,67-95,High
Rice,Leaf Folder,Root feeding,24,35,29.5,69-91,Low
Sugarcane,Pyrilla,Trunk boring,24,37,30.5,58-84,Low
Wheat,Armyworm,Leaf webbing,24,35,29.5,76-77,High
Maize,Fall Armyworm,Leaf defoliation,22,35,28.5,77-92,Moderate
Soybean,Corn Earworm,Top leaf damage,26,36,31.0,89-73,Moderate
Tomato,Aphids,Leaf/frond damage,22,39,30.5,86-86,Low
Sugarcane,White Grub,Sap sucking/viruses,23,35,29.0,82-75,Moderate
Sugarcane,White Grub,Stalk tunneling,23,37,30.0,81-76,Moderate
Maize,Rootworm,Stalk tunneling,24,40,32.0,74-73,Moderate
Wheat,Aphids,Trunk boring,20,36,28.0,78-86,High
Maize,Stem Borer,Root feeding,25,38,31.5,84-89,High
Rice,Brown Plant Hopper,Root/stem rot,20,38,29.0,64-81,Moderate
Tomato,Aphids,Leaf/frond damage,20,37,28.5,58-71,Low
Potato,Wireworm,Shoot tunneling,20,36,28.0,85-93,Low
Maize,Corn Earworm,Root/stem rot,25,37,31.0,55-80,Moderate
Banana,Fruit Fly (Bactrocera),Stalk tunneling,22,35,28.5,82-74,Moderate
Banana,Panama Wilt (Fusarium),Trunk boring,22,37,29.5,59-84,Low
Coconut,Rhinoceros Beetle,Sap sucking/hopper burn,21,35,28.0,62-77,Low
Tomato,Leaf Miner,Fruit infestation,20,35,27.5,50-89,Moderate
Soybean,Corn Earworm,Leaf/frond damage,24,36,30.0,69-94,Low
Maize,Rootworm,Stalk tunneling,21,36,28.5,75-79,Low
Potato,Potato Beetle,Leaf defoliation,22,36,29.0,74-84,Low
Wheat,Hessian Fly,Leaf defoliation,26,37,31.5,52-86,High
Maize,Fall Armyworm,Top leaf damage,26,39,32.5,54-88,Moderate
Banana,Weevil Borer,Leaf defoliation,25,40,32.5,60-72,High
Cotton,Cotton Leafworm,Leaf webbing,21,40,30.5,74-79,High
Potato,Cutworm,Trunk boring,24,37,30.5,53-84,High
Rice,Leaf Folder,Nut damage/yield loss,26,34,30.0,75-70,High
Coconut,Rhinoceros Beetle,Shoot tunneling,21,37,29.0,83-91,Low
Rice,Brown Plant Hopper,Stalk tunneling,26,39,32.5,83-72,High
Tomato,Tomato Hornworm,Stalk tunneling,26,40,33.0,77-89,High
Wheat,Armyworm,Leaf webbing,24,38,31.0,54-82,Low
Wheat,Stem Sawfly,Sap sucking/hopper burn,20,40,30.0,67-74,High
Rice,Yellow Stem Borer,Leaf/frond damage,21,36,28.5,90-93,Moderate
Maize,Corn Earworm,Root feeding,20,38,29.0,85-95,Low
Banana,Fruit Fly (Bactrocera),Shoot tunneling,23,36,29.5,56-77,Low
Potato,Cutworm,Root/stem rot,22,35,28.5,71-72,Moderate
Banana,Aphids,Nut damage/yield loss,20,35,27.5,65-86,Low
Wheat,Stem Sawfly,Nut damage/yield loss,21,34,27.5,63-74,High
Coconut,Rhinoceros Beetle,Sap sucking/viruses,25,36,30.5,57-81,Moderate
Banana,Aphids,Root feeding,21,34,27.5,50-76,High
Potato,Cutworm,Leaf/frond damage,25,36,30.5,60-93,Low
Rice,Brown Plant Hopper,Fruit infestation,25,40,32.5,84-85,Low
Cotton,Aphids,Leaf/frond damage,22,37,29.5,73-71,Low
Rice,Leaf Folder,Leaf/frond damage,21,37,29.0,74-80,High
Maize,Stem Borer,Fruit infestation,23,38,30.5,79-95,Low
Coconut,Rhinoceros Beetle,Nut damage/yield loss,23,35,29.0,59-71,High
Soybean,Bean Leaf Beetle,Leaf webbing,26,36,31.0,90-74,Moderate
Cotton,Pink Bollworm,Root feeding,22,36,29.0,81-88,High
Sugarcane,Pyrilla,Nut damage/yield loss,21,37,29.0,79-73,High
Wheat,Stem Sawfly,Leaf defoliation,24,39,31.5,84-71,Low
Cotton,Whitefly,Fruit infestation,20,37,28.5,86-82,Moderate
Sugarcane,White Grub,Top leaf damage,22,35,28.5,68-84,High
Rice,Gall Midge,Root/stem rot,20,39,29.5,55-95,Low
Cotton,Aphids,Top leaf damage,24,39,31.5,56-74,Moderate
Sugarcane,White Grub,Stalk tunneling,22,40,31.0,51-86,High
Rice,Brown Plant Hopper,Root feeding,20,39,29.5,52-86,High
Rice,Leaf Folder,Leaf/frond damage,23,34,28.5,53-73,High
Banana,Aphids,Nut damage/yield loss,21,34,27.5,68-79,High
Coconut,Red Palm Weevil,Shoot tunneling,22,37,29.5,52-83,Moderate
Maize,Stem Borer,Stalk tunneling,25,39,32.0,54-85,Low
Sugarcane,White Grub,Trunk boring,20,35,27.5,76-89,Moderate
Soybean,Soybean Aphid,Root/stem rot,26,37,31.5,51-91,Low
Banana,Panama Wilt (Fusarium),Sap sucking/hopper burn,21,35,28.0,50-78,High
Soybean,Cutworm,Trunk boring,26,38,32.0,59-89,Moderate
Sugarcane,Top Borer,Fruit infestation,25,36,30.5,82-75,High
Wheat,Stem Sawfly,Leaf webbing,23,39,31.0,59-88,Low
Rice,Brown Plant Hopper,Nut damage/yield loss,25,38,31.5,64-93,Low
Tomato,Aphids,Trunk boring,24,40,32.0,74-83,High
Coconut,Red Palm Weevil,Trunk boring,21,35,28.0,90-82,Moderate
Coconut,Coconut Eriophyid Mite,Trunk boring,26,39,32.5,68-95,High
Coconut,Leaf Eating Caterpillar,Leaf/frond damage,21,34,27.5,90-73,Moderate
Tomato,Whitefly,Sap sucking/hopper burn,21,37,29.0,53-78,High
Wheat,Armyworm,Sap sucking/hopper burn,22,34,28.0,56-82,Low
Tomato,Leaf Miner,Trunk boring,26,40,33.0,55-74,High
Tomato,Aphids,Fruit infestation,24,39,31.5,52-80,High
Sugarcane,Pyrilla,Sap sucking/viruses,22,40,31.0,88-90,High
Coconut,Leaf Eating Caterpillar,Sap sucking/viruses,23,39,31.0,81-89,High
Wheat,Hessian Fly,Root/stem rot,21,40,30.5,86-75,Low
Potato,Potato Beetle,Nut damage/yield loss,23,37,30.0,51-81,Low
Potato,Wireworm,Nut damage/yield loss,20,36,28.0,66-80,Moderate
Coconut,Rhinoceros Beetle,Root/stem rot,24,38,31.0,66-83,Moderate
Banana,Panama Wilt (Fusarium),Bud/leaf damage,21,38,29.5,71-88,Moderate
Rice,Brown Plant Hopper,Root feeding,21,35,28.0,79-73,Moderate
Banana,Aphids,Sap sucking/hopper burn,21,35,28.0,74-93,High
Maize,Stem Borer,Leaf defoliation,25,40,32.5,62-82,High
Rice,Leaf Folder,Root/stem rot,23,37,30.0,60-88,Moderate
Potato,Wireworm,Nut damage/yield loss,23,40,31.5,74-94,Low
Soybean,Bean Leaf Beetle,Stalk tunneling,26,36,31.0,81-80,Low
Wheat,Armyworm,Bud/leaf damage,20,38,29.0,66-83,Moderate
Sugarcane,Early Shoot Borer,Fruit infestation,25,35,30.0,50-93,High
Banana,Aphids,Nut damage/yield loss,22,34,28.0,89-92,High
Banana,Weevil Borer,Shoot tunneling,24,37,30.5,71-88,Moderate
Soybean,Cutworm,Sap sucking/viruses,26,35,30.5,66-77,High
Cotton,Whitefly,Root/stem rot,24,39,31.5,65-92,Moderate
Banana,Weevil Borer,Top leaf damage,22,40,31.0,82-95,High
Sugarcane,Top Borer,Trunk boring,20,36,28.0,78-86,High
Maize,Corn Earworm,Top leaf damage,24,34,29.0,60-89,Low
Banana,Panama Wilt (Fusarium),Leaf/frond damage,24,37,30.5,56-84,High
Potato,Wireworm,Leaf defoliation,20,39,29.5,62-76,High
Banana,Weevil Borer,Sap sucking/hopper burn,24,37,30.5,68-71,Low
Coconut,Leaf Eating Caterpillar,Leaf webbing,22,40,31.0,75-87,Moderate
Wheat,Hessian Fly,Leaf defoliation,24,36,30.0,72-73,Low
Rice,Gall Midge,Root feeding,22,40,31.0,72-93,Moderate
Soybean,Soybean Aphid,Root feeding,21,38,29.5,60-91,High
Rice,Yellow Stem Borer,Leaf webbing,22,36,29.0,50-79,High
Potato,Wireworm,Trunk boring,23,39,31.0,69-85,High
Tomato,Whitefly,Leaf webbing,21,38,29.5,63-76,Moderate
Wheat,Armyworm,Sap sucking/hopper burn,22,39,30.5,50-90,High
Banana,Panama Wilt (Fusarium),Leaf/frond damage,23,36,29.5,56-87,High
Coconut,Coconut Eriophyid Mite,Trunk boring,21,37,29.0,71-92,High
Potato,Potato Beetle,Leaf defoliation,23,34,28.5,52-80,Low
Banana,Panama Wilt (Fusarium),Top leaf damage,23,36,29.5,83-79,High
Tomato,Aphids,Root feeding,24,37,30.5,62-83,High
Wheat,Aphids,Top leaf damage,22,39,30.5,58-81,Moderate
Soybean,Cutworm,Leaf webbing,23,40,31.5,61-86,Moderate
Rice,Yellow Stem Borer,Top leaf damage,20,37,28.5,75-89,Moderate
Wheat,Aphids,Leaf/frond damage,24,39,31.5,56-73,Moderate
Maize,Rootworm,Sap sucking/hopper burn,21,38,29.5,54-95,Low
Potato,Cutworm,Stalk tunneling,23,39,31.0,59-94,High
Cotton,Aphids,Fruit infestation,22,37,29.5,72-73,High
Potato,Wireworm,Top leaf damage,21,35,28.0,86-77,Low
Potato,Wireworm,Shoot tunneling,20,34,27.0,57-81,Low
Sugarcane,White Grub,Sap sucking/viruses,26,36,31.0,73-73,Low
Sugarcane,Early Shoot Borer,Leaf defoliation,25,35,30.0,83-84,Moderate
Coconut,Coconut Eriophyid Mite,Fruit infestation,23,37,30.0,86-72,Low
Tomato,Leaf Miner,Leaf/frond damage,22,34,28.0,57-71,Low
Rice,Yellow Stem Borer,Fruit infestation,22,35,28.5,79-95,Moderate
Banana,Panama Wilt (Fusarium),Root feeding,23,34,28.5,55-93,Low
Coconut,Leaf Eating Caterpillar,Root feeding,24,39,31.5,88-90,Low
Sugarcane,Early Shoot Borer,Leaf webbing,20,37,28.5,71-91,Moderate
Wheat,Aphids,Trunk boring,20,36,28.0,86-70,High
Coconut,Red Palm Weevil,Fruit infestation,25,35,30.0,64-86,Moderate
Cotton,Cotton Leafworm,Sap sucking/viruses,25,38,31.5,90-92,Moderate
Tomato,Whitefly,Sap sucking/viruses,24,35,29.5,76-82,Low
Banana,Aphids,Root feeding,21,36,28.5,89-94,High
Maize,Rootworm,Nut damage/yield loss,23,36,29.5,56-81,High
Rice,Gall Midge,Bud/leaf damage,20,35,27.5,71-74,Low
Maize,Fall Armyworm,Nut damage/yield loss,23,40,31.5,82-79,Low
Banana,Weevil Borer,Sap sucking/hopper burn,24,39,31.5,88-81,Low
Sugarcane,Pyrilla,Shoot tunneling,21,36,28.5,83-74,Low
Rice,Yellow Stem Borer,Bud/leaf damage,22,39,30.5,83-72,Low
Rice,Yellow Stem Borer,Stalk tunneling,22,38,30.0,82-84,High
Sugarcane,White Grub,Root/stem rot,24,40,32.0,75-71,Low
Coconut,Leaf Eating Caterpillar,Top leaf damage,25,39,32.0,89-85,Moderate
Soybean,Corn Earworm,Trunk boring,25,35,30.0,60-90,Low
Wheat,Armyworm,Root/stem rot,25,35,30.0,75-75,Low
Maize,Corn Earworm,Trunk boring,22,35,28.5,74-94,Moderate
Banana,Panama Wilt (Fusarium),Leaf/frond damage,24,35,29.5,64-79,High
Coconut,Coconut Eriophyid Mite,Fruit infestation,21,36,28.5,90-78,Low
Coconut,Rhinoceros Beetle,Leaf webbing,26,38,32.0,83-91,High
Cotton,Cotton Leafworm,Bud/leaf damage,25,39,32.0,79-70,High
Coconut,Coconut Eriophyid Mite,Shoot tunneling,22,40,31.0,84-78,Low
Rice,Gall Midge,Leaf webbing,21,40,30.5,54-72,Low
Maize,Corn Earworm,Shoot tunneling,20,39,29.5,87-92,Moderate
